ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT402,Cámara de visión,30/07/2020,30/07/2021,10/07/2021,Activo,INTERNO,NA,NA,Go,NO GO,AA610091,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Val-6652-000 ,NA,,Calibración Vigente,,,0,1,365.00,365.00,,40963,23 de February del 2013,R&R Pendiente,R&R Actualizado,,44035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT403,Cámara de visión,05/02/2021,05/02/2022,16/01/2022,Activo,INTERNO,NA,NA,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-7614-000,NA,,Calibración Vigente,,,0,1,365.00,,,41628,20 de December del 2014,R&R Pendiente,R&R Actualizado,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT404,Cámara de visión,05/02/2021,05/02/2022,16/01/2022,Activo,INTERNO,NA,NA,Go,NO GO,CL612298,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-7614-000,NA,,Calibración Vigente,,,0,1,365.00,,,41628,20 de December del 2014,R&R Pendiente,R&R Actualizado,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT405,Cámara de visión,05/02/2021,05/02/2022,16/01/2022,Activo,INTERNO,NA,NA,Go,NO GO,9L511347,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-7614-000,NA,,Calibración Vigente,,,0,1,365.00,,,41011,12 de April del 2013,R&R Pendiente,R&R Actualizado,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT406,Hypot,20/07/2020,21/07/2021,01/07/2021,Activo,EXTERNO,Certificado,Certificado,Certificado,Certificadp,,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Teka ,NA,,Calibración Vigente,,,0,1,366.00,,,41012,14 de April del 2013,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT407,Micrómetro ,28/09/2018,28/09/2019,08/09/2019,Baja,INTERNO,0,0.001,0,1'',,INT143,Carlos Cázares,Carlos Cázares,Procesos,NA,,Baja,,,0,1,365.00,,,41044,15 de May del 2013,R&R Pendiente,R&R Actualizado,,43364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT408,Calibrador digital,28/09/2018,28/09/2019,08/09/2019,Baja,INTERNO,0,0.001,0,6'',,INT062,Carlos Cázares,Carlos Cázares,Procesos,NA,,Baja,,,0,1,365.00,,,41044,15 de May del 2013,R&R Pendiente,R&R Actualizado,,43364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT409,Leak test,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,Certificado,Certificado,Certificado,Certificado,I 287094,CERTIFICADO,Automatizacion,Francisco Esparza,BOS-6194-000,NA,,Calibración Vigente,,,0,1,365.00,365.00,,41061,1 de June del 2013,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT410,Leak test,28/04/2019,27/04/2020,07/04/2020,Baja,EXTERNO,Certificado,Certificado,Certificado,Certificado,,CERTIFICADO,Producción,Francisco Esparza,BOS-7370-000 Planta Angel leaño,NA,,Baja,,,0,1,365.00,,,40946,6 de February del 2013,R&R Pendiente,R&R Actualizado,,43576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT411,Leak test,20/07/2020,20/07/2022,30/06/2022,Activo,EXTERNO,Certificado,Certificado,Certificado,Certificado,C282492,CERTIFICADO,Automatizacion,Francisco Esparza,Teka ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,41064,4 de June del 2014,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT412,LCR (Capacitancia),20/07/2020,20/07/2022,30/06/2022,Activo,EXTERNO,Certificado,Certificado,Certificado,Certificado,GEP131189,CERTIFICADO,Produccion,Supervisores,VAL-6652/7121/8187,NA,,Calibración Vigente,,,0,1,730.00,365.00,,41066,6 de June del 2014,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT413,LCR (Capacitancia),20/07/2020,20/07/2022,30/06/2022,Activo,EXTERNO,Certificado,Certificado,Certificado,Certificado,GEP131186,CERTIFICADO,Automatizacion,Francisco Esparza,VAL-6652/7121/8187,NA,,Calibración Vigente,,,0,1,730.00,365.00,,41066,6 de June del 2014,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT414,Cámara de visión,06/01/2021,06/01/2022,17/12/2021,Activo,INTERNO,NA,NA,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 7,NA,,Calibración Vigente,,,0,1,365.00,,,41092,2 de July del 2013,R&R Pendiente,R&R Actualizado,,44195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT415,Cámara de visión,06/01/2021,06/01/2022,17/12/2021,Activo,INTERNO,NA,NA,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 7,NA,,Calibración Vigente,,,0,1,365.00,,,41092,2 de July del 2013,R&R Pendiente,R&R Actualizado,,44195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT416,Cámara de visión,06/01/2021,06/01/2022,17/12/2021,Activo,INTERNO,NA,NA,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 7,NA,,Calibración Vigente,,,0,1,365.00,,,41147,26 de August del 2013,R&R Pendiente,R&R Actualizado,,44195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT417,Cámara de visión,06/01/2021,06/01/2022,17/12/2021,Activo,INTERNO,NA,NA,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 7,NA,,Calibración Vigente,,,0,1,365.00,,,41147,26 de August del 2013,R&R Pendiente,R&R Actualizado,,44195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT418,Torquímetro,29/08/2018,29/08/2019,09/08/2019,Baja,EXTERNO,Certificado,Certificado,10,150 ft/lb,Certificado,CERTIFICADO,Ricardo Salcedo,Ricardo Salcedo,Mantenimiento,NA,,Baja,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,43334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT419,Torquímetro,16/04/2021,16/04/2022,27/03/2022,Activo,EXTERNO,Certificado,Certificado,50,150 ft/lb,914505026,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT420,Torquímetro,16/04/2021,16/04/2022,27/03/2022,Activo,EXTERNO,Certificado,Certificado,30,250 ft/lb,117002857,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,13 de noviembre del 2012,13 de noviembre del 2013,R&R Actualizado,365,,5 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT421,Torquímetro,16/04/2021,16/04/2022,27/03/2022,Activo,EXTERNO,Certificado,Certificado,50,150 ft/lb,1216601051,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,13 de noviembre del 2012,13 de noviembre del 2013,R&R Actualizado,365,,5 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT422,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",2,"3""",63061944,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,5 de marzo del 2015,4 de marzo del 2016,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT423,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",1,"2""",63324362,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,22 de enero del 2014,22 de enero del 2015,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT424,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",0,"1""",63238038,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,22 de enero del 2014,22 de enero del 2015,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT425,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",5,"6""",63054955,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT426,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",4,"5""",67074982,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT427,Micrómetro digital,06/07/2020,06/07/2022,16/06/2022,Activo,INTERNO,".0005""",".0005""",3,"4""",63135281,INT143,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,5 de marzo del 2015,4 de marzo del 2016,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT428,Calibrador digital,06/07/2020,06/07/2021,16/06/2021,Activo,INTERNO,".0005""",".0005""",0,150mm,B17043072,INT062,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,27 de enero del 2014,27 de enero del 2015,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT429,Calibrador digital,07/07/2019,06/07/2020,16/06/2020,Reparacion,INTERNO,".0005""",".0005""",0,300mm,,INT062,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area Planta Tecnology,NA,,Reparacion,,,0,1,365.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,365,,29 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT430,Analizador bascula de humedad,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,,,,,B726303576,CERTIFICADO,Procesos,Procesos,procesos ,NA,,Calibración Vigente,,,0,1,365.00,,,41320,15 de February del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT431,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,,,,,N/A,CERTIFICADO,produccion,Produccion,Yuh-Dak 8,NA,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT432,Preassure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,,,,3500psi,N/A,CERTIFICADO,Procesos,Procesos,MILES 2,NA,OK,Calibración Vigente,Marc instruments,FLOME,1,365,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT433,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,,,,,N/A,CERTIFICADO,Procesos,Procesos,Yuh-Dak 8 ,NA,,Calibración Vigente,,,0,1,365.00,,,41313,8 de February del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT434,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,,,,,N/A,CERTIFICADO,Procesos,Procesos,Battenfeld 6 COT-7614-000,NA,,Calibración Vigente,,,0,1,365.00,,,41403,9 de May del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT436,MICROMETRO ANALOGO FOWLER,28/08/2020,28/08/2021,08/08/2021,Activo,INTERNO,"0.0001""","0.0001""","1""","2""",140218867,INT062,MANTENIMIENTO,Enrique mondragon,Mantenimiento,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,14 de agosto del 2013,14 de agosto del 2014,R&R Actualizado,365,,23 de agosto del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT437,Dinamómetro,21/04/2021,22/04/2022,02/04/2022,Activo,EXTERNO,NA,NA,0,500Kg,XV9816C062,CERTIFICADO,Arturo Alvarez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area,NA,,Calibración Vigente,,FLOME,0,1,366.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,366,,11 de marzo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT438,Indicador Analogo,18/09/2020,18/09/2021,29/08/2021,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",XNL106,INT062,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de agosto del 2014,13 de agosto del 2015,R&R Actualizado,365,,28 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT441,Micrómetro digital,04/11/2020,04/11/2021,15/10/2021,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",66220572,INT062,Metrologia,Metrologia,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,41499,13 de August del 2014,R&R Pendiente,R&R Actualizado,,44132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT442,Micrómetro digital,04/11/2020,04/11/2021,15/10/2021,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",66224295,INT062,Francisco Zúñiga,Francisco Zúñiga,Taller ,NA,,Calibración Vigente,,,0,1,365.00,,,41460,5 de July del 2014,R&R Pendiente,R&R Actualizado,,44132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT443,Micrómetro digital,04/11/2020,04/11/2021,15/10/2021,Activo,INTERNO,"0.0005""","0.0005""","1""","2""",67244859,INT062,Rafael de la cruz,Rafael de la cruz,Taller ,NA,,Calibración Vigente,,,0,1,365.00,,,41499,13 de August del 2014,R&R Pendiente,R&R Actualizado,,44132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT444,Calibrador digital,04/11/2020,04/11/2021,15/10/2021,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",12153318,INT062,Martin Olmedo,Martin Olmedo,CNC,NA,,Calibración Vigente,,,0,1,365.00,,,41653,14 de January del 2015,R&R Pendiente,R&R Actualizado,,44132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT445,Calibrador digital,04/11/2020,04/11/2021,15/10/2021,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",17142526,INT062,Metrologia,Metrologia,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,44132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT446,Indicador Analogo,26/11/2020,26/11/2022,06/11/2022,Activo,INTERNO,"0.0005""","0.0005""",0,10mm,XVT587,INT062,laboratorio Metrologia,laboratorio Metrologia,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,18 de febrero del 2014,18 de febrero del 2015,R&R Actualizado,365,,20 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT447,Indicador Analogo,26/11/2020,26/11/2022,06/11/2022,Activo,INTERNO,"0.0005""","0.0005""",0,10mm,XVT648,INT062,laboratorio Metrologia,laboratorio Metrologia,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,13 de agosto del 2014,13 de agosto del 2015,R&R Actualizado,365,,20 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT448,Indicador Analogo,09/03/2021,09/03/2023,17/02/2023,Activo,INTERNO,"0.0005""","0.0005""",0,10mm,XVT586,INT062,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,OK,Calibración Vigente,,FLOME,0,1,730.00,365.00,,,29 de abril del 2014,29 de abril del 2015,R&R Actualizado,365,,23 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT449,Ring Gauge,24/05/2021,24/05/2022,04/05/2022,Activo,EXTERNO,0.0025mm,0.0025mm,,10mm,171766,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Cold Forging,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,365,,12 de mayo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT450,Ring Gauge,13/11/2020,13/11/2021,24/10/2021,Activo,EXTERNO,0.0025mm,0.0025mm,,18mm,177285,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,1 de julio del 2014,1 de julio del 2015,R&R Actualizado,365,,20 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT451,Bore Gage,13/11/2020,13/11/2022,24/10/2022,Activo,INTERNO,0.025mm,0.025mm,,18mm,XFY463,CERTIFICADO,laboratorio Metrologia,laboratorio Metrologia,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,730.00,365.00,,,7 de febrero del 2014,7 de febrero del 2015,R&R Actualizado,365,,23 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT452,Bore Gage,26/11/2019,25/11/2020,05/11/2020,Extraviado,INTERNO,"0.0005""","0.0005""",0,,XPP196,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area ,NA,,Extraviado,,,0,1,365.00,365.00,,,23 de julio del 2014,23 de julio del 2015,R&R Actualizado,365,,20 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT455,Termopar de contacto,26/01/2021,26/01/2022,06/01/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Eduardo Marquez,Eduardo Marquez,Procesos  ,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,7 de octubre del 2013,7 de octubre del 2014,R&R Actualizado,365,,22 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
